Order Date,Sales,Quantity,Discount,Profit,Transaction Count,Segment_Consumer,Segment_Corporate,Segment_Home_Office,Category_Furniture,Category_OfficeSupplies,Category_Technology,Region_Central,Region_East,Region_South,Region_West,Order Quarter,Order DayOfWeek,Is Holiday Week
2014-01-18,64.864,4.0,0.2,6.4864,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,Saturday,No
2014-01-19,378.594,24.0,0.4823737301700503,-287.9976,4.0,1.0,0.0,0.0,0.47932613829062265,0.5206738617093774,0.0,0.0,0.0,0.0,1.0,1,Sunday,No
2014-01-20,2673.8700000000003,58.0,0.02685523230373952,584.3695,17.0,0.9748701320557843,0.02512986794421569,0.0,0.5286382658842801,0.2095950812866744,0.26176665282904554,0.2650151278857985,0.0,0.7205264279864018,0.01445844412779978,1,Monday,No
2014-01-21,25.248,3.0,0.2,4.1028,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Tuesday,No
2014-01-22,590.5909666666666,12.2,0.14952077628289084,106.04190666666665,2.0,0.6528597686799302,0.18768752478181958,0.15945270653825017,0.3625618523995302,0.4128467470651073,0.22459140053536242,0.22740789261016997,0.20038312095473523,0.29151529326319364,0.2806936931719012,1,Wednesday,No
2014-01-23,46.019999999999996,9.0,0.0,19.2384,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1290743155149935,0.0,0.0,0.8709256844850065,1,Thursday,No
2014-01-24,594.3616333333334,12.2,0.14952077628289084,105.04706666666667,2.0,0.6528597686799302,0.18768752478181958,0.15945270653825017,0.39589518573286353,0.379513413731774,0.22459140053536242,0.19407455927683664,0.20038312095473523,0.29151529326319364,0.3140270265052345,1,Friday,No
2014-01-25,603.9838333333332,12.266666666666667,0.08794839243476059,111.25261666666664,2.0,0.6537947013862763,0.2200859254088071,0.12611937320491684,0.39589518573286353,0.36564374251875437,0.2384610717483821,0.1616761586498491,0.20038312095473523,0.29151529326319364,0.346425427132222,1,Saturday,No
2014-01-26,1097.25,38.0,0.0,150.327,9.0,0.0,0.1391114149008886,0.8608885850991115,0.19794941900205057,0.48915014809751656,0.3129004329004329,0.1391114149008886,0.0,0.8608885850991115,0.0,1,Sunday,No
2014-01-27,426.67,8.0,0.15609253052710528,9.6827,3.0,1.0,0.0,0.0,0.7804626526355264,0.2195373473644737,0.0,0.0,0.0,0.0,1.0,1,Monday,No
2014-01-28,3.928,1.0,0.2,1.3257,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,Tuesday,No
2014-01-29,456.3443000000001,11.633333333333333,0.14952077628289084,68.23213333333334,2.0,0.6536476659207773,0.25332259653796985,0.0930297375412529,0.3470835533843774,0.42313787961336974,0.22977856700225277,0.19500949198318246,0.1670497876214019,0.2583289953953591,0.3796117250000565,1,Wednesday,No
2014-01-30,240.5,4.0,0.0,11.6502,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,Thursday,No
2014-01-31,290.666,2.0,0.15,3.4196,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Friday,No
